timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,287.408504486084,199.571692943573,303.6563491821289,194.84126329421997,310.6687545776367,159.16470766067505,276.77730560302734,166.26113533973694
0.03,287.63132095336914,199.63422060012817,303.64315032958984,194.8123812675476,310.3851890563965,159.1232407093048,277.4277687072754,166.22154593467712
0.07,287.8089904785156,199.7720432281494,303.6412048339844,194.79064464569092,310.2131652832031,159.06538009643555,277.7152442932129,166.22069835662842
0.1,287.9429626464844,199.9110460281372,303.64206314086914,194.77658987045288,310.14333724975586,159.04098272323608,277.85594940185547,166.22880935668945
0.13,288.57635498046875,201.022789478302,303.6284828186035,195.06624698638916,310.018310546875,158.98860454559326,278.05383682250977,166.67231798171997
0.17,288.8429260253906,201.54232263565063,303.627872467041,195.2485728263855,309.9098587036133,158.98105144500732,278.1364440917969,166.95327401161194
0.2,288.96127700805664,201.8224310874939,303.63245010375977,195.35680532455444,309.83978271484375,158.97416353225708,278.18328857421875,167.10046291351318
0.23,289.0580749511719,202.0028257369995,303.64980697631836,195.3686285018921,309.79909896850586,158.9630162715912,278.223876953125,167.21624851226807
0.27,289.1749572753906,202.15019702911377,303.65137100219727,195.45156240463257,309.7231101989746,158.96610617637634,278.27890396118164,167.34070301055908
0.3,289.24707412719727,202.25546836853027,303.6546325683594,195.49020767211914,309.64656829833984,158.9652693271637,278.3176612854004,167.42001056671143
0.33,289.2704200744629,202.33670711517334,303.6537742614746,195.54404497146606,309.54235076904297,158.96859526634216,278.35214614868164,167.4748992919922
0.37,289.27764892578125,202.36492395401,303.67361068725586,195.53114891052246,309.53454971313477,158.95902514457703,278.37528228759766,167.50521898269653
0.4,289.2948913574219,202.35533237457275,303.6837387084961,195.51934719085693,309.53052520751953,158.89739871025085,278.38171005249023,167.50869512557983
0.43,289.2926597595215,202.34919548034668,303.6851119995117,195.37719011306763,309.53113555908203,158.86178970336914,278.3806800842285,167.51289010047913
0.47,289.28884506225586,202.33960390090942,303.6553382873535,195.37665367126465,309.5170211791992,158.8610279560089,278.3792495727539,167.50911355018616
0.5,289.2433547973633,202.13502645492554,303.54827880859375,195.36725521087646,309.50679779052734,158.83846521377563,278.38138580322266,167.17831134796143
0.53,289.1365051269531,202.00252532958984,303.37757110595703,195.42943954467773,309.45178985595703,158.85175824165344,278.3854103088379,166.90657138824463
0.57,289.10303115844727,202.01836109161377,303.07485580444336,195.52361726760864,309.3177795410156,158.85101795196533,278.39420318603516,166.86765789985657
0.6,288.8969039916992,201.99467182159424,302.1649742126465,195.73716402053833,309.237117767334,158.8400101661682,278.3937644958496,166.77643060684204
0.63,288.12686920166016,201.22275352478027,301.54541015625,195.5789351463318,309.1783142089844,158.81683588027954,278.32218170166016,166.43097281455994
0.67,286.1927795410156,200.1974630355835,300.3816604614258,195.59226036071777,308.9176559448242,158.89934062957764,277.79449462890625,166.14298939704895
0.7,284.54004287719727,198.67268085479736,298.8227844238281,195.59030771255493,308.52087020874023,159.05897498130798,277.1128463745117,165.0841498374939
0.73,282.7677917480469,198.1258749961853,298.16869735717773,194.45639848709106,308.0771827697754,158.88421297073364,276.6471290588379,164.33274507522583
0.77,281.884822845459,197.97436237335205,296.63806915283203,194.22390460968018,306.884708404541,158.69993448257446,276.612548828125,164.41951990127563
0.8,280.26926040649414,198.15488576889038,292.17050552368164,194.85411643981934,303.2170104980469,158.72888088226318,276.3301467895508,164.41848993301392
0.83,278.2736587524414,199.78498220443726,284.9440002441406,197.14772701263428,298.1768226623535,159.3923306465149,276.224422454834,164.46919441223145
0.87,274.20339584350586,201.09922170639038,280.0334167480469,197.14386463165283,295.009822845459,160.14470100402832,275.46560287475586,164.82200145721436
0.9,267.36812591552734,201.49269104003906,274.1586685180664,197.06026554107666,293.3976364135742,160.34918189048767,273.3984375,164.96943712234497
0.93,261.9676208496094,199.24373388290405,269.1684341430664,194.8220157623291,292.00958251953125,160.73808073997498,269.4331741333008,163.96708488464355
0.97,254.87548828125,198.26537132263184,264.1245460510254,194.28632497787476,288.3134078979492,161.46108627319336,264.8233413696289,163.19955468177795
1.0,246.8511962890625,196.54255628585815,255.62196731567383,192.71485090255737,280.930233001709,162.99922585487366,259.9955749511719,162.26409673690796
1.03,242.49046325683594,190.1437282562256,251.29629135131836,187.06506729125977,276.58010482788086,162.77615189552307,257.0017623901367,160.5341362953186
1.07,237.85701751708984,187.59146690368652,245.5974006652832,183.02812814712524,274.9831199645996,161.48781180381775,254.01893615722656,160.69094896316528
1.1,237.4251365661621,178.12512516975403,241.50007247924805,174.96397018432617,271.8687057495117,158.70062112808228,254.0122413635254,156.90693140029907
1.13,238.5668182373047,171.52492761611938,230.58778762817383,173.33085894584656,267.16339111328125,156.76741361618042,253.06751251220703,156.3082730770111
1.17,265.0294876098633,169.94643688201904,222.5857925415039,167.92637944221497,260.65637588500977,154.18495059013367,255.74596405029297,152.29138612747192
1.2,280.2317237854004,169.44705247879028,225.65101623535156,158.2819926738739,260.047664642334,150.88571548461914,262.31983184814453,152.60194301605225
1.23,282.6510238647461,171.21517539024353,218.01929473876953,150.3881871700287,255.17078399658203,148.12616229057312,271.07385635375977,152.13212728500366
1.27,280.4899597167969,168.66767764091492,221.0771942138672,141.0971224308014,255.50724029541016,145.59371709823608,276.50989532470703,149.72803115844727
1.3,274.51385498046875,153.26080083847046,225.59547424316406,131.66804194450378,257.2429847717285,140.6261909008026,272.87649154663086,144.53902959823608
1.33,272.15457916259766,148.17538619041443,227.5774383544922,124.69724893569946,260.13219833374023,137.989182472229,274.794979095459,141.0576832294464
