timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,313.65657806396484,182.98619985580444,329.55081939697266,178.04775953292847,337.82379150390625,136.79835677146912,294.1619300842285,146.00361227989197
0.03,313.6343765258789,183.1208896636963,329.52392578125,177.9465651512146,336.68601989746094,136.9958209991455,294.22027587890625,146.00782871246338
0.07,313.6238670349121,183.2516098022461,329.5110321044922,177.94110417366028,336.11419677734375,137.24980473518372,294.30057525634766,146.016583442688
0.1,313.61812591552734,183.3664083480835,329.4926452636719,177.95101761817932,335.8224105834961,137.5212550163269,294.3473243713379,146.02680802345276
0.13,313.58591079711914,183.38471174240112,329.41638946533203,177.98036098480225,335.6005096435547,137.6992678642273,294.3692970275879,146.02430820465088
0.17,313.5834312438965,183.43451499938965,329.3442153930664,178.00424337387085,335.4976272583008,137.8602111339569,294.40967559814453,146.03221535682678
0.2,313.5823440551758,183.46039295196533,329.1320037841797,178.0695390701294,335.31898498535156,138.07881116867065,294.4166564941406,146.03315949440002
0.23,313.60118865966797,183.56984853744507,329.06803131103516,178.09093236923218,335.24051666259766,138.20331931114197,294.4252395629883,146.0436201095581
0.27,313.59060287475586,183.63844871520996,328.8939666748047,178.09370040893555,335.09830474853516,138.40501070022583,294.42562103271484,146.1244833469391
0.3,313.58861923217773,183.7602424621582,328.7639617919922,178.09216618537903,334.9420928955078,138.5804271697998,294.4337844848633,146.1665940284729
0.33,313.5641860961914,183.85315418243408,328.8056945800781,178.09285283088684,334.9407196044922,138.59711050987244,294.4552993774414,146.16809606552124
0.37,313.5276412963867,183.9980149269104,328.92833709716797,178.13714146614075,334.95338439941406,138.5898470878601,294.47269439697266,146.20075464248657
0.4,313.5264015197754,184.12909984588623,329.0323257446289,178.31138849258423,334.94625091552734,138.646559715271,294.4723129272461,146.22281312942505
0.43,313.51892471313477,184.50246334075928,329.05914306640625,178.22932362556458,334.95277404785156,138.64676356315613,294.468994140625,146.5379297733307
