timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,279.3217086791992,130.10746836662292,273.45895767211914,170.8993399143219,280.88449478149414,162.6592719554901,272.80263900756836,135.91341018676758
0.03,273.0889892578125,170.62809348106384,275.40950775146484,177.6852536201477,280.8150863647461,165.71897506713867,272.5965881347656,158.01849246025085
0.1,270.94295501708984,200.74246644973755,283.84143829345703,190.21007537841797,293.61719131469727,154.82869148254395,255.9760856628418,162.06135392189026
0.13,270.9762191772461,200.73811054229736,283.84103775024414,190.24256229400635,293.75377655029297,154.80169773101807,256.0947036743164,161.93967819213867
0.17,270.9111022949219,200.60455799102783,283.0753517150879,190.86700201034546,294.0547180175781,155.23988485336304,256.12905502319336,162.0171618461609
0.2,270.91297149658203,200.50898551940918,283.01563262939453,191.84401273727417,294.161434173584,155.685453414917,256.1236000061035,162.47285842895508
0.23,271.0491943359375,200.50960779190063,283.22628021240234,192.68500328063965,294.1573143005371,156.3857138156891,256.6823196411133,163.32569360733032
0.27,271.58092498779297,200.46218633651733,283.8333511352539,192.61698246002197,294.22801971435547,156.76970958709717,257.55075454711914,163.89520168304443
0.3,272.3550796508789,200.59636116027832,284.2850112915039,192.52179622650146,294.2226791381836,157.17618227005005,257.99978256225586,164.3341827392578
0.33,273.52895736694336,200.47184228897095,284.7733688354492,192.56089210510254,294.48556900024414,157.35413074493408,258.18506240844727,164.36639070510864
0.37,274.49514389038086,200.27331590652466,284.85950469970703,192.52846956253052,294.4643020629883,157.49589085578918,258.62579345703125,164.28296327590942
0.4,274.84033584594727,199.79171991348267,284.9693298339844,192.50943660736084,294.356632232666,157.54413843154907,258.658504486084,164.11637663841248
0.43,274.9078369140625,199.3792176246643,285.01842498779297,192.48400926589966,294.29821014404297,157.5307059288025,258.68274688720703,163.8663947582245
0.47,275.00864028930664,199.10852909088135,285.07593154907227,192.4581527709961,294.2825698852539,157.50210285186768,258.69964599609375,163.70092391967773
0.5,274.99637603759766,198.92444372177124,285.1247024536133,192.33410596847534,294.0420913696289,157.48106360435486,258.6850929260254,163.6230969429016
0.53,274.95248794555664,198.60262155532837,285.08108139038086,191.73670291900635,293.9203453063965,157.47048497200012,258.64681243896484,163.4231436252594
