timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,327.32460021972656,191.78951025009155,342.4394226074219,186.74674272537231,353.36421966552734,151.24258875846863,314.971981048584,154.08971071243286
0.03,327.5596237182617,191.25008583068848,341.68251037597656,186.62424087524414,353.5026550292969,150.97726464271545,314.9696731567383,153.42252731323242
0.07,327.69744873046875,190.82541704177856,341.28917694091797,186.52356147766113,353.63258361816406,150.53408861160278,314.9713706970215,152.7825951576233
0.1,327.7342987060547,190.6565237045288,340.96946716308594,186.51238203048706,353.7019729614258,150.32408237457275,314.84670639038086,152.32423782348633
0.13,327.7448272705078,190.54275512695312,340.65853118896484,186.56660556793213,353.4505081176758,150.4655957221985,314.8427963256836,152.31221079826355
0.17,327.94422149658203,190.41995286941528,340.4929733276367,186.57169103622437,353.4800338745117,150.45997381210327,314.8702621459961,152.30453968048096
0.2,328.15345764160156,190.42907238006592,340.5221939086914,186.6067099571228,353.47862243652344,150.49221396446228,315.0016212463379,152.3293125629425
0.23,328.2288360595703,190.46552896499634,340.54271697998047,186.6099715232849,353.4844207763672,150.4441487789154,315.03610610961914,152.3277997970581
0.27,328.2503890991211,190.4937243461609,340.55370330810547,186.63994789123535,353.4827423095703,150.43001890182495,315.03910064697266,152.25741863250732
0.3,328.34774017333984,190.51994562149048,340.5442810058594,186.67960166931152,353.4433364868164,150.42747616767883,315.0679016113281,152.17357277870178
0.33,328.4394073486328,190.52749872207642,340.55187225341797,186.68056726455688,353.44215393066406,150.41438698768616,315.0911331176758,152.02037572860718
0.37,328.46282958984375,190.53470849990845,340.51483154296875,186.67593240737915,353.43990325927734,150.38776874542236,315.08874893188477,151.82605504989624
0.4,328.4693145751953,190.53865671157837,340.516357421875,186.65934562683105,353.44947814941406,150.25569677352905,315.0985336303711,151.7275857925415
0.43,328.46900939941406,190.54470777511597,340.5238342285156,186.65696382522583,353.4911346435547,150.15379428863525,315.13208389282227,151.70511960983276
0.47,328.51417541503906,190.54781913757324,340.5333709716797,186.65541887283325,353.49632263183594,150.15064001083374,315.253963470459,151.70985102653503
0.5,328.54846954345703,190.56086540222168,340.55492401123047,186.66788578033447,353.40126037597656,150.20583987236023,315.32665252685547,151.7137348651886
0.53,328.5969924926758,190.6209683418274,340.5592727661133,186.71805381774902,353.1008529663086,150.39748907089233,315.42551040649414,151.75327062606812
0.57,328.7433624267578,190.69353818893433,340.56346893310547,186.8208146095276,352.89344787597656,150.65037846565247,315.4648971557617,151.76586627960205
0.6,328.7378692626953,190.79745769500732,340.6330108642578,186.88280582427979,352.62096405029297,150.6972312927246,315.4816246032715,151.86487197875977
0.63,328.1317901611328,190.27000665664673,340.74718475341797,186.8611979484558,352.40440368652344,150.66516280174255,315.2435874938965,151.69409036636353
0.67,325.02513885498047,190.21486043930054,340.75172424316406,186.84752941131592,351.48990631103516,150.76557397842407,314.4950294494629,151.45232677459717
0.7,323.6928176879883,190.2204179763794,339.8383331298828,187.97695398330688,350.48023223876953,151.5860617160797,313.6453628540039,150.84065437316895
0.73,321.4314651489258,190.27161598205566,337.0256042480469,188.56152534484863,347.52418518066406,152.05073833465576,312.8585433959961,150.690096616745
0.77,318.08374404907227,189.94007349014282,333.9069366455078,189.09607887268066,344.87327575683594,152.49116778373718,311.2310791015625,149.59928512573242
0.8,314.38756942749023,189.96185302734375,326.4764404296875,189.97657299041748,340.8306121826172,154.3713641166687,309.946346282959,149.1713547706604
0.83,311.43274307250977,190.4267120361328,322.23731994628906,190.44801950454712,338.7165069580078,155.06023049354553,309.84533309936523,148.94308805465698
0.87,307.92125701904297,189.55010175704956,317.86245346069336,190.29873847961426,336.6629409790039,154.86578106880188,307.25902557373047,146.89024329185486
0.9,304.5136070251465,189.47399139404297,311.10103607177734,190.19001245498657,331.77467346191406,154.70953702926636,307.18740463256836,146.66141867637634
0.93,296.981201171875,187.00706720352173,304.74035263061523,190.02038955688477,327.42603302001953,154.63931679725647,305.5644226074219,146.32797718048096
0.97,293.19005966186523,183.06503534317017,301.59536361694336,189.71446752548218,323.42803955078125,154.81824159622192,304.29967880249023,146.22803807258606
1.0,287.7248001098633,179.58259463310242,294.69717025756836,185.16005516052246,319.36405181884766,154.5976459980011,301.7562484741211,145.90412378311157
1.03,295.3780746459961,162.46008038520813,286.1820602416992,178.90610933303833,315.5434799194336,153.92012000083923,300.38503646850586,144.330815076828
1.07,280.08251190185547,169.2340099811554,284.7440528869629,172.75465607643127,314.30431365966797,150.27315258979797,296.1033630371094,145.4140305519104
1.1,286.21572494506836,164.1120958328247,270.46260833740234,168.6180567741394,303.1974792480469,149.8328733444214,298.2332992553711,142.40482807159424
1.13,274.18643951416016,156.40220403671265,266.49097442626953,162.89453387260437,299.8698425292969,148.08305382728577,295.5458641052246,137.1384608745575
