timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,333.61228942871094,189.9949836730957,350.87947845458984,179.89848375320435,362.11475372314453,140.57888746261597,322.2711944580078,144.1731870174408
0.03,333.6255645751953,190.40939569473267,350.8563995361328,180.0920534133911,361.2367630004883,141.3192629814148,322.2748565673828,144.23906207084656
0.07,333.6646270751953,190.61150550842285,350.8097457885742,180.29317617416382,360.6560516357422,142.05581903457642,322.27283477783203,144.2913007736206
0.1,333.6975860595703,190.69920301437378,350.77159881591797,180.49335479736328,360.3269577026367,142.60488867759705,322.2624206542969,144.31054830551147
0.13,333.6983108520508,190.6966495513916,350.79673767089844,180.5235242843628,360.36304473876953,142.75474905967712,322.2202682495117,144.30813431739807
0.17,333.69903564453125,190.69411754608154,350.80406188964844,180.54425239562988,360.3872299194336,142.778137922287,322.2188186645508,144.30087089538574
0.2,333.72825622558594,190.72250604629517,350.8313751220703,180.57564496994019,360.40931701660156,142.76342868804932,322.29705810546875,144.30337071418762
0.23,333.7351608276367,190.73254823684692,350.9235382080078,180.573091506958,360.4249572753906,142.74145603179932,322.30785369873047,144.30660009384155
0.27,333.787841796875,190.74862003326416,350.9321975708008,180.60926914215088,360.44166564941406,142.72818446159363,322.3465347290039,144.30696487426758
0.3,334.0440368652344,190.80732822418213,350.9408950805664,180.6872034072876,360.45623779296875,142.7857768535614,322.56256103515625,144.30965781211853
0.33,334.1545867919922,190.82784175872803,350.98888397216797,180.7077169418335,360.4639434814453,142.7746081352234,322.6344680786133,144.2840588092804
0.37,334.33502197265625,190.8312749862671,350.9422302246094,180.7119870185852,360.4755401611328,142.76602506637573,322.6986312866211,144.27961707115173
0.4,334.53609466552734,190.83247661590576,350.93238830566406,180.7068371772766,360.5198669433594,142.74978160858154,322.7519226074219,144.2805290222168
0.43,334.8804473876953,190.8303737640381,350.9633255004883,180.7062792778015,360.56060791015625,142.7422821521759,322.84969329833984,144.31883096694946
0.47,334.9175262451172,190.82608222961426,350.9624481201172,180.53122758865356,360.5445098876953,142.27002024650574,322.80540466308594,144.35786247253418
0.5,334.9275588989258,190.76025009155273,351.03832244873047,180.52940368652344,360.5999755859375,141.77549600601196,322.7443313598633,144.36773300170898
0.53,334.9265670776367,190.75364112854004,351.0314178466797,180.5452823638916,360.6510925292969,141.33888602256775,322.59666442871094,144.38348293304443
0.57,334.55482482910156,190.74965000152588,350.94898223876953,180.5559253692627,360.3971481323242,141.1804211139679,322.2446823120117,144.46341276168823
0.6,332.28023529052734,190.6815004348755,349.7027587890625,180.60115814208984,358.84510040283203,141.03898286819458,321.14891052246094,144.66832280158997
0.63,329.68177795410156,190.70308685302734,346.5198516845703,181.47424936294556,356.03370666503906,141.12092971801758,319.306583404541,144.88556027412415
0.67,325.26710510253906,190.77033519744873,343.61061096191406,182.54985809326172,353.91334533691406,141.5106761455536,316.1917495727539,144.96536135673523
0.7,318.4818649291992,190.05128860473633,340.18714904785156,181.8608522415161,352.95066833496094,140.61331629753113,312.40039825439453,144.43130135536194
0.73,312.81707763671875,188.12664270401,332.8538131713867,181.84016704559326,349.4593811035156,140.38777470588684,308.2940673828125,142.69701719284058
0.77,307.3811721801758,188.28871250152588,323.2442092895508,185.0964117050171,344.55848693847656,140.5409288406372,303.629207611084,138.00574779510498
0.8,296.21517181396484,188.2684350013733,311.37889862060547,186.33625745773315,339.75025177001953,141.6644847393036,299.9371910095215,136.90967917442322
0.83,286.7425537109375,183.73380661010742,297.74118423461914,186.16150617599487,334.02923583984375,141.7541778087616,295.43697357177734,133.1765592098236
0.87,276.03260040283203,174.4135594367981,294.21192169189453,175.3341042995453,329.86228942871094,139.80611085891724,291.37027740478516,131.76849603652954
0.9,268.4210777282715,165.57682871818542,276.1863708496094,169.15977716445923,313.93985748291016,139.77696061134338,291.4363670349121,127.04176783561707
0.93,261.6470718383789,152.4560523033142,267.64556884765625,156.75488233566284,308.33667755126953,137.0421802997589,289.21146392822266,123.33913922309875
0.97,253.36524963378906,137.56967425346375,257.08019256591797,144.076509475708,299.5660400390625,130.78851342201233,286.8135643005371,117.918781042099
1.0,248.51495742797852,120.09885907173157,257.0359420776367,126.28564238548279,298.256893157959,131.4805018901825,282.92423248291016,114.25082802772522
1.03,241.9849967956543,101.1742115020752,251.7133903503418,111.84393167495728,294.3414878845215,117.03475713729858,281.03321075439453,104.19461488723755
