timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,290.9285354614258,230.15984058380127,297.84997940063477,226.15689039230347,298.9789390563965,194.0141773223877,278.7778854370117,200.30445098876953
0.03,291.0097312927246,229.96891021728516,298.3139419555664,226.94970846176147,299.39748764038086,194.2956805229187,278.8216209411621,198.45357656478882
0.07,291.0877990722656,229.94223833084106,298.4817123413086,227.56526470184326,299.5859146118164,194.5713472366333,278.82299423217773,197.9731822013855
0.1,291.16275787353516,229.94234561920166,298.54427337646484,228.0118203163147,299.6693801879883,194.85782861709595,278.82389068603516,197.7864146232605
0.13,291.19781494140625,229.92809772491455,298.57797622680664,228.25287580490112,299.70632553100586,195.05976676940918,278.8187789916992,197.6685905456543
0.17,291.25118255615234,229.92829084396362,298.60591888427734,228.3965563774109,299.7317886352539,195.23908853530884,278.8187789916992,197.70298719406128
0.2,291.2672424316406,229.95659351348877,298.65224838256836,228.4997034072876,299.77792739868164,195.34380197525024,278.80802154541016,197.77066469192505
0.23,291.2838363647461,229.9852180480957,298.6857223510742,228.589825630188,299.7955894470215,195.44025421142578,278.78955841064453,197.82025337219238
0.27,291.28833770751953,230.00015258789062,298.7003707885742,228.66904735565186,299.8067855834961,195.49085140228271,278.7568664550781,197.8549289703369
0.3,291.2913131713867,230.01096725463867,298.7211227416992,228.66095781326294,299.8276138305664,195.49248218536377,278.73809814453125,197.88501262664795
0.33,291.3204002380371,230.01422882080078,298.72920989990234,228.64177465438843,299.8369789123535,195.4884696006775,278.72833251953125,197.90960311889648
0.37,291.37386322021484,230.01517295837402,298.7300491333008,228.6271619796753,299.83983993530273,195.48698902130127,278.72386932373047,197.927348613739
0.4,291.4796829223633,230.0365662574768,298.73111724853516,228.61654043197632,299.852352142334,195.48514366149902,278.7242126464844,197.94181108474731
0.43,291.55029296875,230.08104801177979,298.7386131286621,228.60656261444092,299.8732376098633,195.4848861694336,278.7245750427246,197.95365571975708
0.47,291.5982437133789,230.10295629501343,298.7629699707031,228.5996961593628,299.87863540649414,195.46735525131226,278.76916885375977,197.93822765350342
0.5,291.6207504272461,230.09334325790405,298.8589859008789,228.59302282333374,299.8861312866211,195.39517164230347,278.90010833740234,197.82714128494263
0.53,291.6303062438965,230.07145643234253,299.0545082092285,228.59021186828613,299.9190139770508,195.32371759414673,278.9986228942871,197.74015188217163
0.57,291.6318702697754,230.05152225494385,299.2500686645508,228.63396406173706,299.91796493530273,195.24709224700928,279.07018661499023,197.69049882888794
0.6,291.67016983032227,230.25635719299316,299.57788467407227,228.75056505203247,299.881649017334,195.2384877204895,279.1532325744629,197.70024061203003
0.63,291.6312789916992,230.02214670181274,299.5749282836914,229.03234720230103,299.8207473754883,195.22936820983887,279.207820892334,197.34041690826416
