timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y
0.0,299.87768173217773,204.9276351928711,304.68746185302734,199.46125030517578,316.2759780883789,165.35481691360474,285.629825592041,168.44239354133606
0.03,299.761905670166,204.90967512130737,305.37424087524414,198.5839319229126,316.615047454834,166.5590536594391,285.94762802124023,169.10131573677063
0.07,299.61782455444336,204.91031885147095,305.7134437561035,198.21224212646484,316.7597007751465,167.06507921218872,286.1872863769531,169.64149117469788
0.1,299.41898345947266,204.90295886993408,306.2510299682617,197.76787519454956,317.21471786499023,167.09136486053467,286.32965087890625,170.07973194122314
0.13,299.3558883666992,204.9067997932434,306.28955841064453,197.60338068008423,317.30533599853516,167.0488464832306,286.3905906677246,170.33688068389893
0.17,299.314022064209,204.90946054458618,306.39352798461914,197.4769949913025,317.410945892334,167.0623219013214,286.39455795288086,170.5695676803589
0.2,299.32153701782227,204.94059562683105,306.3753890991211,197.42729902267456,317.48327255249023,167.08954095840454,286.42541885375977,170.86265802383423
0.23,299.32300567626953,204.98282432556152,306.35852813720703,197.4040174484253,317.542724609375,167.10869193077087,286.44657135009766,171.02282881736755
0.27,299.3235397338867,204.99408960342407,306.3650131225586,197.37011432647705,317.6462745666504,167.10235118865967,286.4558982849121,171.03545665740967
0.3,299.3240737915039,205.0302028656006,306.3592529296875,197.3828387260437,317.66977310180664,167.10400342941284,286.47098541259766,171.07696652412415
0.33,299.32138442993164,205.04157543182373,306.35223388671875,197.39582061767578,317.6674461364746,167.17012524604797,286.48120880126953,171.10003352165222
0.37,299.3190383911133,205.05045890808105,306.34883880615234,197.44890689849854,317.6327896118164,167.27686643600464,286.48387908935547,171.14686489105225
0.4,299.3099594116211,205.05844116210938,306.3438034057617,197.51302242279053,317.6066589355469,167.39123582839966,286.5047264099121,171.25762939453125
0.43,299.2974853515625,205.0599217414856,306.3412857055664,197.51840829849243,317.5673294067383,167.4694061279297,286.52271270751953,171.31888031959534
0.47,299.287166595459,205.05181074142456,306.33792877197266,197.5310254096985,317.3471450805664,167.7048933506012,286.5144729614258,171.3361644744873
0.5,299.25790786743164,205.0660800933838,306.37136459350586,197.53714084625244,316.94366455078125,167.8228783607483,286.4805030822754,171.335027217865
