timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y
0.0,305.84972381591797,221.3299012184143,319.4181823730469,215.6790018081665
0.03,306.05159759521484,222.36478328704834,319.4110107421875,215.73187351226807
0.07,306.23287200927734,222.65920400619507,319.4112014770508,215.7427954673767
0.1,306.4593505859375,222.82331228256226,319.4260025024414,215.7537603378296
0.13,306.5840721130371,222.98415899276733,319.45438385009766,215.87810754776
0.17,306.79967880249023,222.95658588409424,319.462947845459,216.29801273345947
0.2,307.0295715332031,223.06533336639404,319.53298568725586,216.93352460861206
0.23,307.31271743774414,223.27776432037354,319.6673011779785,217.27098941802979
0.27,307.5410842895508,223.3374810218811,319.7078514099121,217.29015111923218
0.3,307.711181640625,223.3398413658142,319.7991371154785,217.40456342697144
0.33,307.8621292114258,223.35983991622925,319.9251174926758,217.51026391983032
0.37,308.1241226196289,223.64348888397217,320.07110595703125,217.4999213218689
0.4,308.40404510498047,223.80309104919434,320.36521911621094,217.35602617263794
0.43,308.5148048400879,223.92016410827637,320.57811737060547,217.35089778900146
0.47,308.58531951904297,223.9959955215454,320.6627655029297,217.44189977645874
0.5,308.63611221313477,223.99953603744507,320.6695556640625,217.4397325515747
0.53,308.6410140991211,224.00412797927856,320.68431854248047,217.38548755645752
0.57,308.58936309814453,223.6634874343872,320.4047393798828,217.14205026626587
0.6,307.76174545288086,223.59394311904907,319.90589141845703,215.24731636047363
0.63,306.44866943359375,223.5584306716919,319.23315048217773,213.33859205245972
0.67,303.37249755859375,223.23774576187134,316.39230728149414,213.68813753128052
0.7,298.17874908447266,222.61444330215454,312.0003128051758,216.95253610610962
0.73,294.1810989379883,221.4270830154419,308.8339614868164,216.19035959243774
0.77,288.8092613220215,220.93810558319092,304.6028518676758,216.9911813735962
0.8,285.0193214416504,219.4577407836914,298.2316589355469,217.5194263458252
0.83,279.44591522216797,217.79438495635986,292.30823516845703,217.46631860733032
0.87,271.80755615234375,215.59078931808472,282.5730323791504,216.58046007156372
0.9,263.88790130615234,213.99590492248535,276.18541717529297,215.44758081436157
0.93,260.57193756103516,209.37201261520386,267.501277923584,210.97683191299438
0.97,253.3883285522461,203.34075450897217,260.7832908630371,207.50440120697021
1.0,248.44942092895508,197.0101833343506,253.66525650024414,200.89200496673584
1.03,245.97591400146484,186.83536291122437,249.92921829223633,191.88834428787231
1.07,243.5637092590332,182.7236008644104,247.8742790222168,181.23778581619263
1.1,252.58853912353516,169.08453583717346,239.90625381469727,174.15809512138367
1.13,260.6670570373535,179.65638756752014,236.76950454711914,164.9094521999359
1.17,258.78271102905273,167.59241223335266,237.25839614868164,155.33117651939392
1.2,257.43799209594727,151.89067482948303,241.4908218383789,146.26348614692688
1.23,242.7940559387207,135.76953649520874,246.02575302124023,138.18914651870728
1.27,265.6491470336914,144.36375260353088,247.68997192382812,130.05192518234253
1.3,258.7464904785156,118.87332558631897,251.6261100769043,119.62270259857178
1.33,258.75341415405273,108.42962980270386,263.37833404541016,117.86454677581787
1.37,262.681941986084,102.73889422416687,270.17995834350586,111.3043999671936
1.4,267.2593688964844,103.31246852874756,273.47524642944336,106.46410703659058
1.43,272.3855972290039,102.32017993927002,276.77709579467773,106.73087954521179
1.47,277.83130645751953,101.945561170578,280.53985595703125,105.73686361312866
1.5,277.5698471069336,106.21412515640259,281.2095260620117,108.909991979599
1.53,275.861759185791,112.95258522033691,277.9801940917969,114.28731679916382
1.57,274.96978759765625,135.61883926391602,275.8221435546875,134.3278706073761
1.6,264.7926712036133,163.81324410438538,260.3354263305664,161.1421501636505
1.63,268.7882614135742,192.0151162147522,270.02288818359375,187.26784229278564
1.67,290.93536376953125,208.3091926574707,292.66544342041016,210.02127885818481
1.7,308.90405654907227,214.32684659957886,322.9301452636719,207.81856298446655
1.74,336.3661575317383,209.86232042312622,336.5787887573242,189.65060949325562
1.77,359.07432556152344,187.25136280059814,353.1513214111328,182.24498748779297
1.8,370.6111526489258,150.86628556251526,373.3761978149414,153.96772384643555
1.84,381.4438247680664,117.25475192070007,388.40038299560547,118.23935866355896
1.87,370.1665496826172,102.11209416389465,378.03455352783203,95.3063428401947
1.9,361.4683151245117,86.41731441020966,364.89479064941406,83.62810671329498
1.94,357.11387634277344,73.71997833251953,358.6954879760742,80.6337583065033
1.97,349.93141174316406,73.18520486354828,352.1907424926758,85.63862085342407
2.0,339.33372497558594,74.17618453502655,337.7904510498047,74.26759421825409
2.04,333.39290618896484,82.72075831890106,327.77984619140625,78.57944369316101
2.07,317.7267074584961,94.12035584449768,327.3257064819336,93.32215189933777
2.1,309.0907287597656,89.26473140716553,319.9452209472656,93.63946795463562
2.14,301.9694137573242,91.816166639328,309.224796295166,96.14558458328247
2.17,303.4995460510254,93.17441582679749,309.7013854980469,98.8243818283081
2.2,301.1891746520996,98.0567979812622,313.3692932128906,108.0610191822052
2.24,297.99190521240234,106.29621148109436,316.8379592895508,116.82825922966003
2.27,295.7157325744629,105.95485210418701,316.36768341064453,114.07680630683899
2.3,298.6891174316406,107.76316523551941,325.10955810546875,114.63207721710205
2.34,299.72314834594727,107.10008025169373,335.1247024536133,125.12053370475769
2.37,301.90805435180664,107.07227110862732,345.9151077270508,133.2069432735443
2.4,302.2609329223633,106.804039478302,357.80914306640625,170.09077191352844
2.44,309.844913482666,106.48612260818481,346.67724609375,140.98053216934204
2.47,317.78390884399414,102.8948700428009,338.4189987182617,117.49483108520508
2.5,326.46690368652344,126.12773537635803,333.7354278564453,118.65661382675171
2.54,326.1671829223633,123.49658489227295,335.08445739746094,119.50632691383362
2.57,327.4672317504883,123.06690573692322,335.33729553222656,117.73096203804016
2.6,338.80096435546875,118.68574261665344,338.5186004638672,117.60467290878296
2.64,352.6243591308594,98.89902234077454,350.50926208496094,98.13684582710266
2.67,360.0275421142578,97.53974318504333,355.2344512939453,99.43344712257385
2.7,369.1968536376953,98.21964025497437,365.59783935546875,100.91949820518494
2.74,375.89149475097656,99.49653267860413,371.31195068359375,102.81147480010986
2.77,381.77494049072266,101.25808954238892,378.21800231933594,104.8276698589325
2.8,386.6114044189453,108.3667266368866,382.81322479248047,112.17773795127869
