timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y
0.0,289.4891357421875,201.36960983276367,303.94033432006836,196.65334224700928
0.03,289.48949813842773,201.4843225479126,303.91027450561523,196.53189182281494
0.07,289.48827743530273,201.55905961990356,303.82070541381836,196.51835203170776
0.1,289.4781494140625,201.6112232208252,303.72705459594727,196.4565110206604
0.13,289.47399139404297,201.64926767349243,303.6429977416992,196.37473583221436
0.17,289.466495513916,201.68209791183472,303.5374450683594,196.34128332138062
0.2,289.45064544677734,201.68291330337524,303.5087203979492,196.1203122138977
0.23,289.4486427307129,201.68593883514404,303.4852981567383,195.991051197052
0.27,289.44738388061523,201.69950008392334,303.4861755371094,195.8585286140442
0.3,289.44671630859375,201.7097568511963,303.49050521850586,195.70019245147705
0.33,289.447078704834,201.72258853912354,303.4970474243164,195.57968616485596
0.37,289.4517135620117,201.72829627990723,303.4971618652344,195.53136348724365
0.4,289.4480895996094,201.7297339439392,303.51436614990234,195.44559717178345
0.43,289.4480895996094,201.73966884613037,303.5273742675781,195.40424823760986
0.47,289.4785690307617,201.77430152893066,303.5612487792969,195.41489124298096
0.5,289.49514389038086,201.8315291404724,303.56014251708984,195.50252437591553
0.53,289.500789642334,201.86579704284668,303.5325241088867,195.7556390762329
0.57,289.43716049194336,201.88884258270264,303.47970962524414,195.80589294433594
0.6,289.26355361938477,201.89566612243652,303.37268829345703,195.82842350006104
0.63,288.763484954834,201.8194055557251,303.22689056396484,195.84007501602173
0.67,288.63149642944336,201.61139488220215,302.308292388916,195.84110498428345
0.7,287.5404357910156,201.2165093421936,301.3448143005371,195.9488010406494
0.73,286.24826431274414,200.57651281356812,300.255184173584,194.9441957473755
0.77,284.61788177490234,199.93263244628906,298.47314834594727,195.00914812088013
0.8,282.7157211303711,199.37625646591187,297.78751373291016,193.58508825302124
0.83,281.05493545532227,199.18822288513184,294.11142349243164,193.63879680633545
0.87,279.43090438842773,199.25493478775024,288.9756774902344,193.7066674232483
0.9,274.9021530151367,201.68799877166748,284.14661407470703,194.73058462142944
0.93,269.7451400756836,202.81776666641235,275.429630279541,197.03468799591064
0.97,263.710994720459,202.83409595489502,270.9585189819336,197.11337327957153
1.0,258.46221923828125,198.9618444442749,267.9866409301758,193.56433868408203
1.03,249.94131088256836,194.5167589187622,262.8278160095215,190.64459323883057
1.07,245.66680908203125,189.62938785552979,253.65375518798828,190.97113609313965
1.1,239.29380416870117,188.2687783241272,254.04834747314453,178.1790804862976
1.13,239.21260833740234,180.2884340286255,237.02266693115234,180.96821308135986
1.17,241.9314193725586,169.32913184165955,232.5242042541504,177.79568552970886
1.2,240.26811599731445,167.18878269195557,224.50763702392578,172.04686403274536
1.23,283.6458969116211,165.9622299671173,222.6307487487793,164.56547498703003
1.27,275.40491104125977,167.05694675445557,218.3468246459961,155.09794235229492
1.3,275.67859649658203,158.9684021472931,218.4219741821289,143.89138340950012
1.33,269.6348190307617,152.4872088432312,223.70800018310547,135.86456179618835
1.37,252.13075637817383,130.55389523506165,225.7421112060547,129.5307183265686
1.4,250.106201171875,121.4564323425293,233.37541580200195,121.7608630657196
1.43,250.9811782836914,113.4373676776886,248.1289291381836,120.09528636932373
1.47,252.73269653320312,104.95583653450012,254.7030258178711,110.23096919059753
1.5,261.3119125366211,108.27112197875977,262.2080421447754,103.60538721084595
1.53,265.1988220214844,95.00919699668884,266.833553314209,98.70171904563904
1.57,267.4762535095215,96.2500512599945,270.1243591308594,104.17295336723328
1.6,265.95947265625,102.659672498703,266.6450500488281,108.05443167686462
1.63,271.1651611328125,115.93695044517517,261.49682998657227,109.21141862869263
1.67,286.61041259765625,155.3563678264618,241.7001724243164,136.27882361412048
1.7,291.4461326599121,156.23862147331238,244.7616195678711,166.2779688835144
1.74,287.17859268188477,190.0730037689209,275.1851463317871,185.0307297706604
1.77,287.30594635009766,192.39920854568481,302.6064109802246,191.64346933364868
1.8,309.56186294555664,195.37628889083862,320.53794860839844,183.37278127670288
1.84,330.09288787841797,189.65468645095825,337.67051696777344,186.85306549072266
1.87,341.89002990722656,177.16707229614258,355.90728759765625,173.78747820854187
1.9,357.1060562133789,159.4190239906311,342.41031646728516,129.0001881122589
1.94,355.5548095703125,139.9765169620514,369.29874420166016,123.43662142753601
1.97,322.22442626953125,122.57474184036255,364.5635223388672,103.01257610321045
2.0,344.1168975830078,90.91684341430664,335.02349853515625,101.25911951065063
2.04,337.4720001220703,80.89321374893188,306.19754791259766,104.96185541152954
2.07,331.6978454589844,72.44590222835541,315.6437301635742,88.05120885372162
2.1,319.8197937011719,72.85483717918396,314.859676361084,71.9425106048584
2.14,316.07757568359375,80.14814972877502,313.64376068115234,79.25162672996521
2.17,315.6399154663086,93.26014995574951,303.8374710083008,76.36366009712219
2.2,296.82214736938477,81.34778380393982,295.13118743896484,81.77781164646149
2.24,293.90933990478516,87.4556028842926,293.58715057373047,89.17331099510193
2.27,295.78556060791016,89.61280703544617,299.6555709838867,90.68676352500916
2.3,296.08041763305664,91.5001916885376,301.7098617553711,93.41356158256531
2.34,297.16278076171875,96.76412343978882,318.4980773925781,122.67414450645447
2.37,296.9032287597656,107.23330020904541,344.4928741455078,156.34546995162964
2.4,294.4307518005371,109.92870569229126,337.4001693725586,141.0058629512787
2.44,296.3922691345215,108.62545251846313,304.22943115234375,136.89289927482605
2.47,296.8324851989746,109.42869901657104,303.1014060974121,135.90253114700317
2.5,317.65417098999023,97.6848828792572,314.20785903930664,140.92145919799805
2.54,331.3142395019531,90.87463617324829,316.3396644592285,143.174010515213
2.57,323.9958190917969,88.39290618896484,298.7680435180664,114.85328435897827
2.6,320.0719451904297,89.94219839572906,301.4339065551758,110.61353802680969
2.64,320.8890914916992,90.73881983757019,319.6982955932617,97.75968432426453
