timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y
0.0,281.0506820678711,213.9125633239746,291.2953567504883,208.64721536636353
0.03,280.808162689209,214.13467168807983,291.62723541259766,208.70656728744507
0.07,280.66524505615234,214.3640112876892,291.96252822875977,208.84994745254517
0.1,280.6119155883789,214.4188141822815,292.0732116699219,208.88906478881836
0.13,280.58801651000977,214.4248867034912,292.10113525390625,208.90859127044678
0.17,280.57764053344727,214.36169385910034,292.1164894104004,208.92652988433838
0.2,280.5392837524414,214.31234121322632,292.1413040161133,208.94208669662476
0.23,280.50724029541016,214.3050456047058,292.16365814208984,208.94187211990356
0.27,280.4743957519531,214.30487394332886,292.277889251709,208.92022132873535
0.3,280.4599952697754,214.30386543273926,292.41939544677734,208.91009330749512
0.33,280.4361343383789,214.27860975265503,292.4225425720215,208.7086272239685
0.37,280.4008483886719,214.09780740737915,292.44136810302734,208.34815979003906
0.4,280.3940963745117,214.00590419769287,292.33470916748047,208.12502145767212
0.43,280.40210723876953,213.9955186843872,292.1126365661621,208.0378818511963
0.47,280.4012680053711,213.95599365234375,291.97317123413086,207.92070150375366
0.5,280.35472869873047,213.8951826095581,291.8741989135742,207.78639793395996
0.53,280.1930809020996,213.4692907333374,290.7916831970215,207.25746631622314
0.57,279.65076446533203,212.20903873443604,290.20191192626953,206.47464752197266
0.6,278.05185317993164,210.8286452293396,289.5221519470215,205.5007266998291
0.63,276.36682510375977,210.8313488960266,289.6305274963379,204.60407495498657
0.67,273.0265426635742,209.91203784942627,288.81778717041016,203.70426893234253
0.7,271.1008071899414,208.1567144393921,287.42319107055664,202.54591941833496
0.73,266.9023132324219,207.98254251480103,285.68567276000977,199.41919326782227
0.77,260.9073257446289,206.98001861572266,283.5942077636719,199.96668577194214
0.8,255.3268051147461,204.45226192474365,281.303768157959,194.18448686599731
0.83,244.60468292236328,202.07822799682617,260.31774520874023,195.29247522354126
0.87,235.40470123291016,198.68585586547852,246.72971725463867,194.96481657028198
0.9,232.19165802001953,192.4545693397522,246.34418487548828,186.57973766326904
