timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y
0.0,302.54709243774414,216.26760721206665,315.4646682739258,208.49053144454956
0.03,303.3750915527344,216.667320728302,316.2400817871094,208.46671342849731
0.07,303.7986755371094,216.85571908950806,316.91150665283203,208.45810890197754
0.1,304.02578353881836,216.88430070877075,317.4056053161621,208.44903230667114
0.13,304.27724838256836,216.91713094711304,317.6900100708008,208.3597469329834
0.17,304.59115982055664,216.9628143310547,317.7540969848633,208.32738876342773
0.2,305.04016876220703,217.0205783843994,317.80200958251953,208.32436323165894
0.23,305.39819717407227,217.07984447479248,317.791805267334,208.32363367080688
0.27,305.70486068725586,217.15820789337158,317.8004837036133,208.36135625839233
0.3,305.93738555908203,217.23678588867188,317.8727722167969,208.36751461029053
0.33,306.40859603881836,217.39022970199585,318.0035972595215,208.3923840522766
0.37,307.008113861084,217.46065378189087,318.2670021057129,208.22685956954956
0.4,307.48138427734375,217.63177871704102,319.14743423461914,208.14615726470947
0.43,308.3894729614258,217.98278331756592,320.5702590942383,207.90344953536987
0.47,309.09576416015625,218.09258222579956,321.6455841064453,207.9019260406494
0.5,310.79442977905273,218.20544958114624,322.5571823120117,207.9524803161621
0.53,312.279052734375,218.19064378738403,323.04359436035156,207.99593210220337
0.57,314.76755142211914,218.159658908844,324.40704345703125,209.23425436019897
0.6,315.95739364624023,217.39301919937134,326.53526306152344,209.2265510559082
0.63,318.1513023376465,215.76152801513672,327.1929931640625,209.4691300392151
0.67,318.10302734375,214.62422847747803,327.5901412963867,209.36100482940674
0.7,317.4148178100586,213.8312816619873,327.6588821411133,209.4250774383545
0.73,316.7116165161133,213.66240978240967,327.5239562988281,207.57104873657227
0.77,311.29024505615234,213.42047452926636,324.0423583984375,206.40488862991333
0.8,304.21045303344727,212.43721961975098,316.54022216796875,205.81593990325928
0.83,294.1629409790039,210.82165002822876,308.56353759765625,205.6772804260254
0.87,285.1712417602539,208.1974196434021,296.53045654296875,203.49207401275635
0.9,276.8199157714844,205.06219625473022,279.49838638305664,200.2031922340393
0.93,267.68768310546875,198.85637998580933,265.7900619506836,199.68011856079102
0.97,258.6103820800781,189.36228275299072,249.46788787841797,191.53757572174072
1.0,244.0837860107422,179.68945384025574,239.4113540649414,180.2328586578369
1.03,233.60652923583984,163.36555123329163,237.60005950927734,162.46046662330627
1.07,228.60239028930664,147.03381657600403,236.39543533325195,148.13267469406128
1.1,236.12632751464844,134.93798732757568,237.28376388549805,132.0365560054779
1.13,237.41302490234375,116.85580015182495,246.52002334594727,122.44018077850342
1.17,243.97354125976562,100.68638205528259,251.81480407714844,109.44937348365784
1.2,245.54479598999023,88.2204669713974,257.34228134155273,100.47147274017334
1.23,267.67053604125977,85.09310245513916,271.9947814941406,111.18131875991821
1.27,278.15013885498047,100.15162467956543,280.2410888671875,111.59921765327454
1.3,281.1525344848633,113.7438154220581,284.1843795776367,113.8596761226654
1.33,281.07913970947266,107.58576393127441,280.8673095703125,115.78998684883118
1.37,283.153076171875,112.97170400619507,279.81414794921875,119.42293167114258
1.4,281.72170639038086,117.4189031124115,280.8736801147461,118.08904767036438
1.43,284.8006248474121,126.79998278617859,284.5158004760742,123.6865496635437
1.47,287.7360153198242,119.64552283287048,286.9415855407715,118.17188501358032
1.5,286.65979385375977,104.20406699180603,284.4754981994629,112.59006857872009
1.53,267.8285217285156,112.76463747024536,273.49740982055664,116.25678777694702
1.57,254.00196075439453,150.4876434803009,258.86112213134766,147.85603165626526
1.6,261.2441635131836,186.98833465576172,261.78640365600586,182.2161054611206
1.63,314.0948486328125,191.62853479385376,293.3558654785156,202.88645267486572
1.67,330.50540924072266,203.4639859199524,337.84488677978516,198.050537109375
1.7,358.61854553222656,186.7678141593933,367.8828430175781,177.9818093776703
1.74,369.4375228881836,178.29002737998962,385.62828063964844,170.27026534080505
1.77,382.1664047241211,139.15453791618347,387.3577117919922,139.67971444129944
1.8,371.35826110839844,121.26037359237671,382.2738265991211,119.68161463737488
1.84,357.50377655029297,111.32712364196777,372.7396774291992,104.58187222480774
1.87,351.6376495361328,101.64756774902344,360.0233840942383,96.47138714790344
1.9,347.28832244873047,90.93808650970459,342.301025390625,92.5778067111969
1.94,333.206787109375,94.03286218643188,331.4546585083008,87.29474008083344
1.97,331.32606506347656,101.18420004844666,325.3229522705078,100.2228319644928
2.0,319.89755630493164,99.31995749473572,315.0575256347656,96.82898998260498
2.04,317.5259017944336,95.84540247917175,303.48968505859375,91.01106405258179
2.07,300.42856216430664,89.765145778656,310.03000259399414,95.57392001152039
2.1,301.33026123046875,92.60828733444214,306.17889404296875,97.44394540786743
2.14,297.45819091796875,93.02867531776428,307.4684143066406,98.13461422920227
2.17,296.4752769470215,93.91578912734985,304.44894790649414,96.50792956352234
2.2,298.07056427001953,94.31864619255066,305.3721046447754,96.1249852180481
2.24,296.69872283935547,94.95352506637573,303.3015823364258,95.93217730522156
2.27,296.02306365966797,95.15283465385437,302.57904052734375,95.76800465583801
2.3,293.88477325439453,94.82223629951477,311.3751220703125,95.32233953475952
2.34,293.4791564941406,93.95767450332642,308.9638900756836,96.01560473442078
2.37,292.79788970947266,93.9744222164154,308.61730575561523,96.22398018836975
2.4,292.43799209594727,93.75425577163696,308.9508628845215,96.30572319030762
2.44,292.08343505859375,93.90775322914124,315.3575134277344,96.63739442825317
2.47,291.6512107849121,93.60844016075134,315.22998809814453,96.55794739723206
2.5,291.80126190185547,93.23213696479797,310.34332275390625,96.37771368026733
2.54,291.7136573791504,93.17100405693054,311.2625503540039,96.49523735046387
2.57,291.55370712280273,93.2955014705658,330.01651763916016,107.01674938201904
2.6,291.6819190979004,93.33102464675903,328.01692962646484,106.32908463478088
2.64,291.9136428833008,93.37328553199768,330.19615173339844,108.77338171005249
2.67,292.13207244873047,93.40036511421204,326.0132598876953,106.77096247673035
2.7,292.2332763671875,93.43875288963318,324.75196838378906,103.86496067047119
2.74,292.3704528808594,93.55139493942261,326.70997619628906,105.48888802528381
2.77,292.47798919677734,94.03423547744751,333.53485107421875,109.34141993522644
2.8,292.80033111572266,94.06724810600281,330.37445068359375,107.02475309371948
