timestamp,right_wrist_x,right_wrist_y,left_wrist_x,left_wrist_y
0.0,304.11922454833984,212.16129541397095,312.74524688720703,211.36161088943481
0.03,304.56308364868164,212.16955661773682,312.9803466796875,211.29082202911377
0.07,304.5853805541992,212.07597970962524,313.22887420654297,211.12815141677856
0.1,304.5863342285156,212.05147504806519,313.30617904663086,210.96661806106567
0.13,304.5846939086914,212.04814910888672,313.35784912109375,210.93207120895386
0.17,304.58324432373047,211.92511081695557,313.36177825927734,210.9062147140503
0.2,304.56653594970703,211.80484056472778,313.39595794677734,210.91142892837524
0.23,304.5310974121094,211.78752422332764,313.4834861755371,210.9100341796875
0.27,304.42392349243164,211.79355382919312,313.6232376098633,210.96794843673706
0.3,304.30606842041016,211.7778468132019,313.64694595336914,211.00661516189575
0.33,304.1050338745117,211.7617106437683,313.85522842407227,211.00738763809204
0.37,303.9412498474121,211.66435718536377,313.9151382446289,211.01240873336792
0.4,303.6737632751465,211.61060571670532,313.9876937866211,211.19372606277466
0.43,303.49451065063477,211.5454602241516,314.0683364868164,211.21827363967896
0.47,303.3695983886719,211.41456842422485,314.1141700744629,211.08341217041016
0.5,303.15704345703125,211.37227535247803,314.03797149658203,210.89651584625244
0.53,302.8617858886719,211.297345161438,314.0000534057617,210.52716493606567
0.57,302.58962631225586,211.18735313415527,313.803768157959,210.07711172103882
0.6,300.4706382751465,210.64337968826294,312.9213333129883,210.0331449508667
0.63,298.1035804748535,210.73382377624512,311.1490821838379,209.7762966156006
0.67,293.4646224975586,211.41531944274902,309.8857116699219,209.78108167648315
0.7,288.9573669433594,211.46143198013306,306.5103530883789,208.21085214614868
0.73,285.0642967224121,211.48874759674072,300.54981231689453,206.98943853378296
0.77,276.66711807250977,211.28455638885498,288.0705261230469,207.38503217697144
0.8,269.0581703186035,207.09425926208496,279.19483184814453,207.512104511261
0.83,262.5699806213379,205.93080282211304,272.1307945251465,207.59040355682373
0.87,259.7783851623535,202.24617719650269,267.4565124511719,202.85686254501343
0.9,251.98335647583008,200.42038679122925,258.133602142334,199.90662574768066
0.93,243.86531829833984,193.53946924209595,248.7781524658203,194.27227020263672
0.97,237.8342056274414,190.8508014678955,243.37329864501953,189.7650647163391
1.0,233.28235626220703,185.543053150177,232.5777816772461,185.41870594024658
1.03,238.30219268798828,178.95195364952087,227.31748580932617,178.7549614906311
1.07,252.94614791870117,160.57045340538025,224.74300384521484,168.6658000946045
1.1,245.85931777954102,155.97130179405212,221.4498519897461,158.66405725479126
1.13,238.52298736572266,146.97680354118347,222.36740112304688,147.97648429870605
